workqueue_order	workqueue_phase	entry_id	entry_name	target_fingerprint_id	structure_id	structure_path	pymol_script_path	recommended_workflow	blocker_bucket	confidence	current_decision	decision	reviewer	reviewed_at	expert_note	confidence_override	reviewer_question	primary_next_action	allowed_decisions	stop_conditions	no_import_guard
11	nonclean30_strategy	m_csa:591	stromelysin 1	metal_dependent_hydrolase	1HFS	artifacts/v3_mcsa_pymol_second_materialized_coordinates_20260522/pdb_1HFS.cif		expert_biochemistry_boundary_review	needs_expert_biochemistry_review	low	needs_more_evidence						Can expert review affirm metal_dependent_hydrolase, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
12	nonclean30_strategy	m_csa:951	N-sulfoglucosamine sulfohydrolase	metal_dependent_hydrolase	4MHX	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_4MHX.cif		expert_biochemistry_boundary_review	needs_expert_biochemistry_review	low	needs_more_evidence						Can expert review affirm metal_dependent_hydrolase, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
13	nonclean30_strategy	m_csa:986	Thiosulfate dehydrogenase	heme_peroxidase_oxidase	4V2K	artifacts/v3_mcsa_pymol_eighth_materialized_coordinates_20260522/pdb_4V2K.cif		expert_biochemistry_boundary_review	needs_expert_biochemistry_review	low	needs_more_evidence						Can expert review affirm heme_peroxidase_oxidase, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
14	nonclean30_strategy	m_csa:927	type II site-specific deoxyribonuclease FokI	metal_dependent_hydrolase	2FOK	artifacts/v3_mcsa_pymol_eighth_materialized_coordinates_20260522/pdb_2FOK.cif		expert_biochemistry_boundary_review	needs_expert_biochemistry_review	low	needs_more_evidence						Can expert review affirm metal_dependent_hydrolase, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
15	nonclean30_strategy	m_csa:650	phospholipase A1	ser_his_acid_hydrolase	1QD6	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1QD6.cif		structure_or_pymol_geometry_resolution	needs_manual_visual_review	low	needs_more_evidence						Does manual visual inspection resolve the target conflict for ser_his_acid_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
16	nonclean30_strategy	m_csa:886	threonine ammonia-lyase (biosynthetic)	plp_dependent_enzyme	1TDJ	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1TDJ.cif		expert_biochemistry_boundary_review	needs_expert_biochemistry_review	low	needs_more_evidence						Can expert review affirm plp_dependent_enzyme, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
17	nonclean30_strategy	m_csa:952	phosphohistidine phosphatase	metal_dependent_hydrolase	2HW4	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_2HW4.cif		structure_or_holo_alternate_resolution	apo_or_holo_missing_cofactor	medium	needs_more_evidence						Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
18	nonclean30_strategy	m_csa:794	2',3'-cyclic-nucleotide 3'-phosphodiesterase	metal_dependent_hydrolase	1JH6	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_1JH6.cif		structure_or_holo_alternate_resolution	apo_or_holo_missing_cofactor	medium	needs_more_evidence						Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
19	nonclean30_strategy	m_csa:671	N-carbamoyl-D-amino-acid hydrolase	metal_dependent_hydrolase	1FO6	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_1FO6.cif		structure_or_holo_alternate_resolution	apo_or_holo_missing_cofactor	medium	needs_more_evidence						Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
20	nonclean30_strategy	m_csa:644	limonene-1,2-epoxide hydrolase	metal_dependent_hydrolase	1NWW	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_1NWW.cif		structure_or_holo_alternate_resolution	apo_or_holo_missing_cofactor	medium	needs_more_evidence						Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
21	nonclean30_strategy	m_csa:832	rRNA endonuclease	metal_dependent_hydrolase	1DE3	artifacts/v3_mcsa_pymol_fourth_materialized_coordinates_20260522/pdb_1DE3.cif		structure_or_holo_alternate_resolution	apo_or_holo_missing_cofactor	medium	needs_more_evidence						Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
22	nonclean30_strategy	m_csa:976	α‑glucosidase maltase-glucoamylase	ser_his_acid_hydrolase	2QMJ	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_2QMJ.cif		structure_or_pymol_geometry_resolution	loose_open_or_interdomain_geometry	medium	needs_more_evidence						Do the highlighted residues form one coherent catalytic unit for ser_his_acid_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
23	nonclean30_strategy	m_csa:847	epoxide hydrolase	metal_dependent_hydrolase	1EHY	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_1EHY.cif		structure_or_pymol_geometry_resolution	loose_open_or_interdomain_geometry	medium	needs_more_evidence						Do the highlighted residues form one coherent catalytic unit for metal_dependent_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
24	nonclean30_strategy	m_csa:642	vesicle-fusing ATPase	metal_dependent_hydrolase	1NSF	artifacts/v3_mcsa_pymol_fifth_materialized_coordinates_20260522/pdb_1NSF.cif		structure_or_pymol_geometry_resolution	loose_open_or_interdomain_geometry	medium	needs_more_evidence						Do the highlighted residues form one coherent catalytic unit for metal_dependent_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
25	nonclean30_strategy	m_csa:844	dUTP diphosphatase	metal_dependent_hydrolase	1DUP	artifacts/v3_mcsa_pymol_eighth_materialized_coordinates_20260522/pdb_1DUP.cif		structure_or_pymol_geometry_resolution	loose_open_or_interdomain_geometry	medium	needs_more_evidence						Do the highlighted residues form one coherent catalytic unit for metal_dependent_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
26	nonclean30_strategy	m_csa:751	CDP-diacylglycerol diphosphatase	metal_dependent_hydrolase	1TZ3	artifacts/v3_mcsa_pymol_materialized_coordinates_20260522/pdb_1TZ3.cif		expert_biochemistry_boundary_review	amp_or_nucleotide_nontransfer_context	medium	needs_more_evidence						Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
27	nonclean30_strategy	m_csa:564	ribonuclease V	metal_dependent_hydrolase	1A4Y	artifacts/v3_mcsa_pymol_fourth_materialized_coordinates_20260522/pdb_1A4Y.cif		expert_biochemistry_boundary_review	amp_or_nucleotide_nontransfer_context	medium	needs_more_evidence						Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
28	nonclean30_strategy	m_csa:833	DNA helicase	metal_dependent_hydrolase	1QHG	artifacts/v3_mcsa_pymol_sixth_materialized_coordinates_20260522/pdb_1QHG.cif		expert_biochemistry_boundary_review	amp_or_nucleotide_nontransfer_context	medium	needs_more_evidence						Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
29	nonclean30_strategy	m_csa:780	DNA helicase	metal_dependent_hydrolase	1HQC	artifacts/v3_mcsa_pymol_seventh_materialized_coordinates_20260522/pdb_1HQC.cif		expert_biochemistry_boundary_review	amp_or_nucleotide_nontransfer_context	medium	needs_more_evidence						Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
30	nonclean30_strategy	m_csa:656	adenosinetriphosphatase	metal_dependent_hydrolase	1KAZ	artifacts/v3_mcsa_pymol_ninth_materialized_coordinates_20260522/pdb_1KAZ.cif		expert_biochemistry_boundary_review	amp_or_nucleotide_nontransfer_context	medium	needs_more_evidence						Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
31	nonclean30_strategy	m_csa:793	mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase	ser_his_acid_hydrolase	1QWN	artifacts/v3_mcsa_pymol_materialized_coordinates_20260522/pdb_1QWN.cif		future_family_or_schema_route_review	wrong_fingerprint_or_future_ontology_family	medium	needs_more_evidence						Is this a current-target reject and future-family route rather than a ser_his_acid_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
32	nonclean30_strategy	m_csa:755	lysophospholipase	metal_dependent_hydrolase	1J00	artifacts/v3_mcsa_pymol_fourth_materialized_coordinates_20260522/pdb_1J00.cif		future_family_or_schema_route_review	wrong_fingerprint_or_future_ontology_family	medium	needs_more_evidence						Is this a current-target reject and future-family route rather than a metal_dependent_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
33	nonclean30_strategy	m_csa:817	chitinase (GH18, class II)	metal_dependent_hydrolase	1ITX	artifacts/v3_mcsa_pymol_fourth_materialized_coordinates_20260522/pdb_1ITX.cif		future_family_or_schema_route_review	wrong_fingerprint_or_future_ontology_family	high	needs_more_evidence						Is this a current-target reject and future-family route rather than a metal_dependent_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
34	nonclean30_strategy	m_csa:597	ubiquitinyl hydrolase 1 (peptidase C12 type)	metal_dependent_hydrolase	1UCH	artifacts/v3_mcsa_pymol_fifth_materialized_coordinates_20260522/pdb_1UCH.cif		future_family_or_schema_route_review	wrong_fingerprint_or_future_ontology_family	medium	needs_more_evidence						Is this a current-target reject and future-family route rather than a metal_dependent_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
35	nonclean30_strategy	m_csa:729	protein-glutamate methylesterase (CheD)	metal_dependent_hydrolase	2F9Z	artifacts/v3_mcsa_pymol_sixth_materialized_coordinates_20260522/pdb_2F9Z.cif		future_family_or_schema_route_review	wrong_fingerprint_or_future_ontology_family	medium	needs_more_evidence						Is this a current-target reject and future-family route rather than a metal_dependent_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
36	nonclean30_strategy	m_csa:841	penicillin amidase (peptidase S45 family)	ser_his_acid_hydrolase	1PNL	artifacts/v3_mcsa_pymol_seventh_materialized_coordinates_20260522/pdb_1PNL.cif		reject_confirmation_review	true_reject	high	needs_more_evidence						Confirm rejection for ser_his_acid_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
37	nonclean30_strategy	m_csa:658	arabinogalactan endo-1,4-beta-galactosidase	ser_his_acid_hydrolase	1FHL	artifacts/v3_mcsa_pymol_eighth_materialized_coordinates_20260522/pdb_1FHL.cif		reject_confirmation_review	true_reject	high	needs_more_evidence						Confirm rejection for ser_his_acid_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
38	nonclean30_strategy	m_csa:827	fructan beta-fructosidase	ser_his_acid_hydrolase	1Y9M	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_1Y9M.cif		reject_confirmation_review	true_reject	high	needs_more_evidence						Confirm rejection for ser_his_acid_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
39	nonclean30_strategy	m_csa:774	lysozyme (glycosyl hydrolase 25 family)	metal_dependent_hydrolase	1OBA	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_1OBA.cif		reject_confirmation_review	true_reject	high	needs_more_evidence						Confirm rejection for metal_dependent_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
40	nonclean30_strategy	m_csa:831	glucan 1,3-beta-glucosidase	ser_his_acid_hydrolase	1CZ1	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_1CZ1.cif		reject_confirmation_review	true_reject	high	needs_more_evidence						Confirm rejection for ser_his_acid_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	accepted | rejected | needs_more_evidence | route_future_family	human_or_expert_review_not_completed | decision_template_would_need_nonblank_human_decision | row_requires_later_dedicated_gate_before_import	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
