deferred_order	review_timing	entry_id	entry_name	target_fingerprint_id	structure_id	confidence	blocker_bucket	sample_review_priority	expected_import_potential	why_deferred	next_review_only_action	required_human_or_expert_action	would_unblock_if	decision	reviewer	reviewed_at	expert_note	allowed_future_reviewer_decisions	review_only_guardrail
11	review_after_exact40_packet_or_new_bounded_plan	m_csa:971	2'-hydroxybiphenyl-2-sulfinate desulfinase	ser_his_acid_hydrolase	2DE2	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
12	review_after_exact40_packet_or_new_bounded_plan	m_csa:746	L-peptidase	metal_dependent_hydrolase	1QOL	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
13	review_after_exact40_packet_or_new_bounded_plan	m_csa:810	fructose-2,6-bisphosphate 2-phosphatase	metal_dependent_hydrolase	2BIF	medium	apo_or_holo_missing_cofactor	medium	medium_if_local_holo_or_cofactor_evidence_is_found	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_search_local_holo_or_cofactor_evidence	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
14	review_after_exact40_packet_or_new_bounded_plan	m_csa:964	intracellular protease	ser_his_acid_hydrolase	1G2I	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
15	review_after_exact40_packet_or_new_bounded_plan	m_csa:789	ubiquitinyl hydrolase 1 (peptidase C19 type)	metal_dependent_hydrolase	1NBF	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
16	review_after_exact40_packet_or_new_bounded_plan	m_csa:782	D-stereospecific aminopeptidase (peptidase S12 family)	metal_dependent_hydrolase	1EI5	medium	apo_or_holo_missing_cofactor	medium	medium_if_local_holo_or_cofactor_evidence_is_found	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_search_local_holo_or_cofactor_evidence	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
17	review_after_exact40_packet_or_new_bounded_plan	m_csa:681	pectinesterase	metal_dependent_hydrolase	1GQ8	medium	apo_or_holo_missing_cofactor	medium	medium_if_local_holo_or_cofactor_evidence_is_found	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_search_local_holo_or_cofactor_evidence	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
18	review_after_exact40_packet_or_new_bounded_plan	m_csa:747	gamma-glutamyl hydrolase	ser_his_acid_hydrolase	1L9X	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
19	review_after_exact40_packet_or_new_bounded_plan	m_csa:529	phospholipase A2 (group group IVA)	metal_dependent_hydrolase	1CJY	medium	apo_or_holo_missing_cofactor	medium	medium_if_local_holo_or_cofactor_evidence_is_found	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_search_local_holo_or_cofactor_evidence	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
20	review_after_exact40_packet_or_new_bounded_plan	m_csa:905	glucan 1,4-alpha-maltohydrolase	metal_dependent_hydrolase	1QHO	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
21	review_after_exact40_packet_or_new_bounded_plan	m_csa:924	licheninase (glycosyl hydrolase 16 family)	metal_dependent_hydrolase	2AYH	high	true_reject	low	none_for_current_fingerprint	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_confirm_current_target_rejection_boundary	Confirm as current-target reject or hard boundary training signal; no import path under current evidence.	Only new mechanism evidence overturning current-target counterevidence would reopen this row.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
22	review_after_exact40_packet_or_new_bounded_plan	m_csa:790	glucan 1,3-beta-glucosidase	metal_dependent_hydrolase	1EX1	high	true_reject	low	none_for_current_fingerprint	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_confirm_current_target_rejection_boundary	Confirm as current-target reject or hard boundary training signal; no import path under current evidence.	Only new mechanism evidence overturning current-target counterevidence would reopen this row.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
23	review_after_exact40_packet_or_new_bounded_plan	m_csa:921	lysozyme (glycosyl hydrolase 24 family)	metal_dependent_hydrolase	206L	high	true_reject	low	none_for_current_fingerprint	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_confirm_current_target_rejection_boundary	Confirm as current-target reject or hard boundary training signal; no import path under current evidence.	Only new mechanism evidence overturning current-target counterevidence would reopen this row.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
24	review_after_exact40_packet_or_new_bounded_plan	m_csa:877	6-phospho-beta-galactosidase	ser_his_acid_hydrolase	1PBG	high	true_reject	low	none_for_current_fingerprint	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_confirm_current_target_rejection_boundary	Confirm as current-target reject or hard boundary training signal; no import path under current evidence.	Only new mechanism evidence overturning current-target counterevidence would reopen this row.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
25	review_after_exact40_packet_or_new_bounded_plan	m_csa:814	cathepsin S	ser_his_acid_hydrolase	1GLO	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
26	review_after_exact40_packet_or_new_bounded_plan	m_csa:598	streptopain	ser_his_acid_hydrolase	1DKI	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
