workqueue_order	queue_lane	workqueue_phase	decision_template_row	entry_id	entry_name	target_fingerprint_id	structure_id	structure_path	structure_path_exists	pymol_script_path	pymol_script_exists	confidence	blocker_bucket	sample_review_priority	reviewer_question	primary_next_action	required_human_or_expert_action	would_unblock_if	decision	reviewer	reviewed_at	expert_note	confidence_override	allowed_decisions	review_only_guardrail
11	expert_biochemistry_boundary_review	nonclean30_strategy	11	m_csa:591	stromelysin 1	metal_dependent_hydrolase	1HFS	artifacts/v3_mcsa_pymol_second_materialized_coordinates_20260522/pdb_1HFS.cif	true		false	low	needs_expert_biochemistry_review	high	Can expert review affirm metal_dependent_hydrolase, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert biochemical boundary review; AI/source evidence is insufficient for countable import.	Expert biochemical review supplies a current-target accept decision or a specific future-family route with gates.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
12	expert_biochemistry_boundary_review	nonclean30_strategy	12	m_csa:951	N-sulfoglucosamine sulfohydrolase	metal_dependent_hydrolase	4MHX	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_4MHX.cif	true		false	low	needs_expert_biochemistry_review	high	Can expert review affirm metal_dependent_hydrolase, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert biochemical boundary review; AI/source evidence is insufficient for countable import.	Expert biochemical review supplies a current-target accept decision or a specific future-family route with gates.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
13	expert_biochemistry_boundary_review	nonclean30_strategy	13	m_csa:986	Thiosulfate dehydrogenase	heme_peroxidase_oxidase	4V2K	artifacts/v3_mcsa_pymol_eighth_materialized_coordinates_20260522/pdb_4V2K.cif	true		false	low	needs_expert_biochemistry_review	high	Can expert review affirm heme_peroxidase_oxidase, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert biochemical boundary review; AI/source evidence is insufficient for countable import.	Expert biochemical review supplies a current-target accept decision or a specific future-family route with gates.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
14	expert_biochemistry_boundary_review	nonclean30_strategy	14	m_csa:927	type II site-specific deoxyribonuclease FokI	metal_dependent_hydrolase	2FOK	artifacts/v3_mcsa_pymol_eighth_materialized_coordinates_20260522/pdb_2FOK.cif	true		false	low	needs_expert_biochemistry_review	high	Can expert review affirm metal_dependent_hydrolase, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert biochemical boundary review; AI/source evidence is insufficient for countable import.	Expert biochemical review supplies a current-target accept decision or a specific future-family route with gates.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
15	structure_or_pymol_geometry_resolution	nonclean30_strategy	15	m_csa:650	phospholipase A1	ser_his_acid_hydrolase	1QD6	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1QD6.cif	true		false	low	needs_manual_visual_review	high	Does manual visual inspection resolve the target conflict for ser_his_acid_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	Manual visual review and target/top1 reconciliation before deciding accept, reject, or future-family route.	Manual visual review resolves the target/top1 conflict and assigns a single import-safe route.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
16	expert_biochemistry_boundary_review	nonclean30_strategy	16	m_csa:886	threonine ammonia-lyase (biosynthetic)	plp_dependent_enzyme	1TDJ	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1TDJ.cif	true		false	low	needs_expert_biochemistry_review	high	Can expert review affirm plp_dependent_enzyme, or should this row be rejected or routed?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert biochemical boundary review; AI/source evidence is insufficient for countable import.	Expert biochemical review supplies a current-target accept decision or a specific future-family route with gates.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
17	structure_or_holo_alternate_resolution	nonclean30_strategy	17	m_csa:952	phosphohistidine phosphatase	metal_dependent_hydrolase	2HW4	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_2HW4.cif	true		false	medium	apo_or_holo_missing_cofactor	medium	Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
18	structure_or_holo_alternate_resolution	nonclean30_strategy	18	m_csa:794	2',3'-cyclic-nucleotide 3'-phosphodiesterase	metal_dependent_hydrolase	1JH6	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_1JH6.cif	true		false	medium	apo_or_holo_missing_cofactor	medium	Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
19	structure_or_holo_alternate_resolution	nonclean30_strategy	19	m_csa:671	N-carbamoyl-D-amino-acid hydrolase	metal_dependent_hydrolase	1FO6	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_1FO6.cif	true		false	medium	apo_or_holo_missing_cofactor	medium	Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
20	structure_or_holo_alternate_resolution	nonclean30_strategy	20	m_csa:644	limonene-1,2-epoxide hydrolase	metal_dependent_hydrolase	1NWW	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_1NWW.cif	true		false	medium	apo_or_holo_missing_cofactor	medium	Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
21	structure_or_holo_alternate_resolution	nonclean30_strategy	21	m_csa:832	rRNA endonuclease	metal_dependent_hydrolase	1DE3	artifacts/v3_mcsa_pymol_fourth_materialized_coordinates_20260522/pdb_1DE3.cif	true		false	medium	apo_or_holo_missing_cofactor	medium	Can local holo or alternate-structure evidence show the expected cofactor for metal_dependent_hydrolase?	Check holo alternate or local cofactor evidence before any later decision.	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
22	structure_or_pymol_geometry_resolution	nonclean30_strategy	22	m_csa:976	α‑glucosidase maltase-glucoamylase	ser_his_acid_hydrolase	2QMJ	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_2QMJ.cif	true		false	medium	loose_open_or_interdomain_geometry	medium	Do the highlighted residues form one coherent catalytic unit for ser_his_acid_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	Manual PyMOL review of the full active-site context to decide whether the focus pair is a real catalytic unit or an open/interdomain artifact.	Manual PyMOL inspection shows the measured focus-pair geometry belongs to one relevant catalytic conformation rather than loose/interdomain context.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
23	structure_or_pymol_geometry_resolution	nonclean30_strategy	23	m_csa:847	epoxide hydrolase	metal_dependent_hydrolase	1EHY	artifacts/v3_mcsa_pymol_third_materialized_coordinates_20260522/pdb_1EHY.cif	true		false	medium	loose_open_or_interdomain_geometry	medium	Do the highlighted residues form one coherent catalytic unit for metal_dependent_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	Manual PyMOL review of the full active-site context to decide whether the focus pair is a real catalytic unit or an open/interdomain artifact.	Manual PyMOL inspection shows the measured focus-pair geometry belongs to one relevant catalytic conformation rather than loose/interdomain context.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
24	structure_or_pymol_geometry_resolution	nonclean30_strategy	24	m_csa:642	vesicle-fusing ATPase	metal_dependent_hydrolase	1NSF	artifacts/v3_mcsa_pymol_fifth_materialized_coordinates_20260522/pdb_1NSF.cif	true		false	medium	loose_open_or_interdomain_geometry	medium	Do the highlighted residues form one coherent catalytic unit for metal_dependent_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	Manual PyMOL review of the full active-site context to decide whether the focus pair is a real catalytic unit or an open/interdomain artifact.	Manual PyMOL inspection shows the measured focus-pair geometry belongs to one relevant catalytic conformation rather than loose/interdomain context.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
25	structure_or_pymol_geometry_resolution	nonclean30_strategy	25	m_csa:844	dUTP diphosphatase	metal_dependent_hydrolase	1DUP	artifacts/v3_mcsa_pymol_eighth_materialized_coordinates_20260522/pdb_1DUP.cif	true		false	medium	loose_open_or_interdomain_geometry	medium	Do the highlighted residues form one coherent catalytic unit for metal_dependent_hydrolase?	Inspect geometry/locality in PyMOL or source coordinates before any later decision.	Manual PyMOL review of the full active-site context to decide whether the focus pair is a real catalytic unit or an open/interdomain artifact.	Manual PyMOL inspection shows the measured focus-pair geometry belongs to one relevant catalytic conformation rather than loose/interdomain context.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
26	expert_biochemistry_boundary_review	nonclean30_strategy	26	m_csa:751	CDP-diacylglycerol diphosphatase	metal_dependent_hydrolase	1TZ3	artifacts/v3_mcsa_pymol_materialized_coordinates_20260522/pdb_1TZ3.cif	true		false	medium	amp_or_nucleotide_nontransfer_context	medium	Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert nucleotide-state review; distinguish hydrolytic non-transfer AMP/nucleotide context from ATP/adenylyl-transfer or allosteric context before any future rule.	Expert review or a tested production rule distinguishes catalytic-pocket non-transfer nucleotide context from transfer/allosteric controls.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
27	expert_biochemistry_boundary_review	nonclean30_strategy	27	m_csa:564	ribonuclease V	metal_dependent_hydrolase	1A4Y	artifacts/v3_mcsa_pymol_fourth_materialized_coordinates_20260522/pdb_1A4Y.cif	true		false	medium	amp_or_nucleotide_nontransfer_context	medium	Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert nucleotide-state review; distinguish hydrolytic non-transfer AMP/nucleotide context from ATP/adenylyl-transfer or allosteric context before any future rule.	Expert review or a tested production rule distinguishes catalytic-pocket non-transfer nucleotide context from transfer/allosteric controls.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
28	expert_biochemistry_boundary_review	nonclean30_strategy	28	m_csa:833	DNA helicase	metal_dependent_hydrolase	1QHG	artifacts/v3_mcsa_pymol_sixth_materialized_coordinates_20260522/pdb_1QHG.cif	true		false	medium	amp_or_nucleotide_nontransfer_context	medium	Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert nucleotide-state review; distinguish hydrolytic non-transfer AMP/nucleotide context from ATP/adenylyl-transfer or allosteric context before any future rule.	Expert review or a tested production rule distinguishes catalytic-pocket non-transfer nucleotide context from transfer/allosteric controls.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
29	expert_biochemistry_boundary_review	nonclean30_strategy	29	m_csa:780	DNA helicase	metal_dependent_hydrolase	1HQC	artifacts/v3_mcsa_pymol_seventh_materialized_coordinates_20260522/pdb_1HQC.cif	true		false	medium	amp_or_nucleotide_nontransfer_context	medium	Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert nucleotide-state review; distinguish hydrolytic non-transfer AMP/nucleotide context from ATP/adenylyl-transfer or allosteric context before any future rule.	Expert review or a tested production rule distinguishes catalytic-pocket non-transfer nucleotide context from transfer/allosteric controls.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
30	expert_biochemistry_boundary_review	nonclean30_strategy	30	m_csa:656	adenosinetriphosphatase	metal_dependent_hydrolase	1KAZ	artifacts/v3_mcsa_pymol_ninth_materialized_coordinates_20260522/pdb_1KAZ.cif	true		false	medium	amp_or_nucleotide_nontransfer_context	medium	Is the nucleotide state in-scope for metal_dependent_hydrolase, or should the row stay review-only?	Use expert biochemical mechanism review; do not resolve by visual geometry alone.	Expert nucleotide-state review; distinguish hydrolytic non-transfer AMP/nucleotide context from ATP/adenylyl-transfer or allosteric context before any future rule.	Expert review or a tested production rule distinguishes catalytic-pocket non-transfer nucleotide context from transfer/allosteric controls.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
31	future_family_or_schema_route_review	nonclean30_strategy	31	m_csa:793	mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase	ser_his_acid_hydrolase	1QWN	artifacts/v3_mcsa_pymol_materialized_coordinates_20260522/pdb_1QWN.cif	true		false	medium	wrong_fingerprint_or_future_ontology_family	low	Is this a current-target reject and future-family route rather than a ser_his_acid_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
32	future_family_or_schema_route_review	nonclean30_strategy	32	m_csa:755	lysophospholipase	metal_dependent_hydrolase	1J00	artifacts/v3_mcsa_pymol_fourth_materialized_coordinates_20260522/pdb_1J00.cif	true		false	medium	wrong_fingerprint_or_future_ontology_family	low	Is this a current-target reject and future-family route rather than a metal_dependent_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
33	future_family_or_schema_route_review	nonclean30_strategy	33	m_csa:817	chitinase (GH18, class II)	metal_dependent_hydrolase	1ITX	artifacts/v3_mcsa_pymol_fourth_materialized_coordinates_20260522/pdb_1ITX.cif	true		false	high	wrong_fingerprint_or_future_ontology_family	low	Is this a current-target reject and future-family route rather than a metal_dependent_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
34	future_family_or_schema_route_review	nonclean30_strategy	34	m_csa:597	ubiquitinyl hydrolase 1 (peptidase C12 type)	metal_dependent_hydrolase	1UCH	artifacts/v3_mcsa_pymol_fifth_materialized_coordinates_20260522/pdb_1UCH.cif	true		false	medium	wrong_fingerprint_or_future_ontology_family	low	Is this a current-target reject and future-family route rather than a metal_dependent_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
35	future_family_or_schema_route_review	nonclean30_strategy	35	m_csa:729	protein-glutamate methylesterase (CheD)	metal_dependent_hydrolase	2F9Z	artifacts/v3_mcsa_pymol_sixth_materialized_coordinates_20260522/pdb_2F9Z.cif	true		false	medium	wrong_fingerprint_or_future_ontology_family	low	Is this a current-target reject and future-family route rather than a metal_dependent_hydrolase label?	Treat as ontology/future-family routing evidence, not a current-target accept.	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
36	reject_confirmation_review	nonclean30_strategy	36	m_csa:841	penicillin amidase (peptidase S45 family)	ser_his_acid_hydrolase	1PNL	artifacts/v3_mcsa_pymol_seventh_materialized_coordinates_20260522/pdb_1PNL.cif	true		false	high	true_reject	low	Confirm rejection for ser_his_acid_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	Confirm as current-target reject or hard boundary training signal; no import path under current evidence.	Only new mechanism evidence overturning current-target counterevidence would reopen this row.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
37	reject_confirmation_review	nonclean30_strategy	37	m_csa:658	arabinogalactan endo-1,4-beta-galactosidase	ser_his_acid_hydrolase	1FHL	artifacts/v3_mcsa_pymol_eighth_materialized_coordinates_20260522/pdb_1FHL.cif	true		false	high	true_reject	low	Confirm rejection for ser_his_acid_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	Confirm as current-target reject or hard boundary training signal; no import path under current evidence.	Only new mechanism evidence overturning current-target counterevidence would reopen this row.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
38	reject_confirmation_review	nonclean30_strategy	38	m_csa:827	fructan beta-fructosidase	ser_his_acid_hydrolase	1Y9M	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_1Y9M.cif	true		false	high	true_reject	low	Confirm rejection for ser_his_acid_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	Confirm as current-target reject or hard boundary training signal; no import path under current evidence.	Only new mechanism evidence overturning current-target counterevidence would reopen this row.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
39	reject_confirmation_review	nonclean30_strategy	39	m_csa:774	lysozyme (glycosyl hydrolase 25 family)	metal_dependent_hydrolase	1OBA	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_1OBA.cif	true		false	high	true_reject	low	Confirm rejection for metal_dependent_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	Confirm as current-target reject or hard boundary training signal; no import path under current evidence.	Only new mechanism evidence overturning current-target counterevidence would reopen this row.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
40	reject_confirmation_review	nonclean30_strategy	40	m_csa:831	glucan 1,3-beta-glucosidase	ser_his_acid_hydrolase	1CZ1	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_1CZ1.cif	true		false	high	true_reject	low	Confirm rejection for ser_his_acid_hydrolase, or note evidence that overturns the mismatch.	Confirm current-target rejection evidence without promoting to a global negative.	Confirm as current-target reject or hard boundary training signal; no import path under current evidence.	Only new mechanism evidence overturning current-target counterevidence would reopen this row.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
